SpaCy Results for 20 keywords
MODEL	QUERY	#	SCORE
MultipartiteRank	1	1	0.0
MultipartiteRank	1	10	0.5
MultipartiteRank	1	100	0.8333333333333334
MultipartiteRank	2	1	0.0
MultipartiteRank	2	10	0.1111111111111111
MultipartiteRank	2	100	0.2222222222222222
MultipartiteRank	3	1	0.0
MultipartiteRank	3	10	0.2
MultipartiteRank	3	100	0.36
MultipartiteRank	4	1	0.0
MultipartiteRank	4	10	0.0
MultipartiteRank	4	100	0.3125
MultipartiteRank	5	1	0.0
MultipartiteRank	5	10	0.09375
MultipartiteRank	5	100	0.59375
MultipartiteRank	6	1	0.0
MultipartiteRank	6	10	0.05357142857142857
MultipartiteRank	6	100	0.32142857142857145
PositionRank	1	1	0.0
PositionRank	1	10	0.5
PositionRank	1	100	0.8333333333333334
PositionRank	2	1	0.0
PositionRank	2	10	0.2222222222222222
PositionRank	2	100	0.2222222222222222
PositionRank	3	1	0.0
PositionRank	3	10	0.2
PositionRank	3	100	0.44
PositionRank	4	1	0.0
PositionRank	4	10	0.1875
PositionRank	4	100	0.375
PositionRank	5	1	0.0
PositionRank	5	10	0.09375
PositionRank	5	100	0.5
PositionRank	6	1	0.0
PositionRank	6	10	0.044642857142857144
PositionRank	6	100	0.3392857142857143
SingleRank	1	1	0.16666666666666666
SingleRank	1	10	0.8333333333333334
SingleRank	1	100	1.0
SingleRank	2	1	0.1111111111111111
SingleRank	2	10	0.1111111111111111
SingleRank	2	100	0.2222222222222222
SingleRank	3	1	0.04
SingleRank	3	10	0.24
SingleRank	3	100	0.4
SingleRank	4	1	0.0625
SingleRank	4	10	0.1875
SingleRank	4	100	0.625
SingleRank	5	1	0.010416666666666666
SingleRank	5	10	0.10416666666666667
SingleRank	5	100	0.3541666666666667
SingleRank	6	1	0.008928571428571428
SingleRank	6	10	0.03571428571428571
SingleRank	6	100	0.26785714285714285
TfIdf	1	1	0.16666666666666666
TfIdf	1	10	0.16666666666666666
TfIdf	1	100	0.5
TfIdf	2	1	0.1111111111111111
TfIdf	2	10	0.1111111111111111
TfIdf	2	100	0.2222222222222222
TfIdf	3	1	0.04
TfIdf	3	10	0.28
TfIdf	3	100	0.56
TfIdf	4	1	0.0
TfIdf	4	10	0.1875
TfIdf	4	100	0.75
TfIdf	5	1	0.010416666666666666
TfIdf	5	10	0.10416666666666667
TfIdf	5	100	0.4270833333333333
TfIdf	6	1	0.008928571428571428
TfIdf	6	10	0.08928571428571429
TfIdf	6	100	0.4375
TextRank	1	1	0.16666666666666666
TextRank	1	10	0.16666666666666666
TextRank	1	100	0.5
TextRank	2	1	0.0
TextRank	2	10	0.1111111111111111
TextRank	2	100	0.1111111111111111
TextRank	3	1	0.04
TextRank	3	10	0.2
TextRank	3	100	0.48
TextRank	4	1	0.0625
TextRank	4	10	0.1875
TextRank	4	100	0.625
TextRank	5	1	0.010416666666666666
TextRank	5	10	0.0625
TextRank	5	100	0.34375
TextRank	6	1	0.0
TextRank	6	10	0.03571428571428571
TextRank	6	100	0.19642857142857142
TopicalPageRank	1	1	0.16666666666666666
TopicalPageRank	1	10	0.6666666666666666
TopicalPageRank	1	100	0.8333333333333334
TopicalPageRank	2	1	0.1111111111111111
TopicalPageRank	2	10	0.2222222222222222
TopicalPageRank	2	100	0.2222222222222222
TopicalPageRank	3	1	0.04
TopicalPageRank	3	10	0.16
TopicalPageRank	3	100	0.4
TopicalPageRank	4	1	0.0625
TopicalPageRank	4	10	0.3125
TopicalPageRank	4	100	0.625
TopicalPageRank	5	1	0.010416666666666666
TopicalPageRank	5	10	0.10416666666666667
TopicalPageRank	5	100	0.3333333333333333
TopicalPageRank	6	1	0.008928571428571428
TopicalPageRank	6	10	0.05357142857142857
TopicalPageRank	6	100	0.26785714285714285
YAKE	1	1	0.16666666666666666
YAKE	1	10	0.16666666666666666
YAKE	1	100	0.5
YAKE	2	1	0.0
YAKE	2	10	0.0
YAKE	2	100	0.0
YAKE	3	1	0.0
YAKE	3	10	0.04
YAKE	3	100	0.2
YAKE	4	1	0.0
YAKE	4	10	0.0625
YAKE	4	100	0.0625
YAKE	5	1	0.0
YAKE	5	10	0.020833333333333332
YAKE	5	100	0.125
YAKE	6	1	0.008928571428571428
YAKE	6	10	0.026785714285714284
YAKE	6	100	0.11607142857142858
KPMiner	1	1	0.0
KPMiner	1	10	0.3333333333333333
KPMiner	1	100	0.6666666666666666
KPMiner	2	1	0.0
KPMiner	2	10	0.2222222222222222
KPMiner	2	100	0.3333333333333333
KPMiner	3	1	0.0
KPMiner	3	10	0.24
KPMiner	3	100	0.56
KPMiner	4	1	0.0
KPMiner	4	10	0.125
KPMiner	4	100	0.5
KPMiner	5	1	0.0
KPMiner	5	10	0.0
KPMiner	5	100	0.0
KPMiner	6	1	0.0
KPMiner	6	10	0.0
KPMiner	6	100	0.0
TopicRank	1	1	0.0
TopicRank	1	10	0.6666666666666666
TopicRank	1	100	0.8333333333333334
TopicRank	2	1	0.0
TopicRank	2	10	0.0
TopicRank	2	100	0.2222222222222222
TopicRank	3	1	0.0
TopicRank	3	10	0.16
TopicRank	3	100	0.36
TopicRank	4	1	0.0
TopicRank	4	10	0.0
TopicRank	4	100	0.25
TopicRank	5	1	0.0
TopicRank	5	10	0.09375
TopicRank	5	100	0.53125
TopicRank	6	1	0.0
TopicRank	6	10	0.026785714285714284
TopicRank	6	100	0.23214285714285715
