MODEL	QUERY	N	SCORE
MultipartitieRank	3	1	0.0
MultipartitieRank	3	10	0.125
MultipartitieRank	3	100	0.125
MultipartitieRank	3	1000	0.125
MultipartitieRank	3	10000	0.375
MultipartitieRank	1	1	0.0
MultipartitieRank	1	10	0.0
MultipartitieRank	1	100	0.0
MultipartitieRank	1	1000	0.15789473684210525
MultipartitieRank	1	10000	0.631578947368421
MultipartitieRank	2	1	0.0
MultipartitieRank	2	10	0.2
MultipartitieRank	2	100	0.2
MultipartitieRank	2	1000	0.3
MultipartitieRank	2	10000	0.5
MultipartitieRank	4	1	0.0
MultipartitieRank	4	10	0.0
MultipartitieRank	4	100	0.0
MultipartitieRank	4	1000	0.0
MultipartitieRank	4	10000	0.0
MultipartitieRank	5	1	0.0
MultipartitieRank	5	10	0.0
MultipartitieRank	5	100	0.019230769230769232
MultipartitieRank	5	1000	0.1346153846153846
MultipartitieRank	5	10000	0.5192307692307693
PositionRank	3	1	0.0
PositionRank	3	10	0.0
PositionRank	3	100	0.0
PositionRank	3	1000	0.25
PositionRank	3	10000	0.375
PositionRank	1	1	0.0
PositionRank	1	10	0.0
PositionRank	1	100	0.0
PositionRank	1	1000	0.21052631578947367
PositionRank	1	10000	0.3157894736842105
PositionRank	2	1	0.0
PositionRank	2	10	0.0
PositionRank	2	100	0.0
PositionRank	2	1000	0.1
PositionRank	2	10000	0.8
PositionRank	4	1	0.0
PositionRank	4	10	0.0
PositionRank	4	100	0.0
PositionRank	4	1000	0.0
PositionRank	4	10000	0.0
PositionRank	5	1	0.0
PositionRank	5	10	0.0
PositionRank	5	100	0.019230769230769232
PositionRank	5	1000	0.07692307692307693
PositionRank	5	10000	0.38461538461538464
SingleRank	3	1	0.0
SingleRank	3	10	0.0
SingleRank	3	100	0.25
SingleRank	3	1000	0.25
SingleRank	3	10000	0.375
SingleRank	1	1	0.0
SingleRank	1	10	0.05263157894736842
SingleRank	1	100	0.10526315789473684
SingleRank	1	1000	0.21052631578947367
SingleRank	1	10000	0.47368421052631576
SingleRank	2	1	0.0
SingleRank	2	10	0.0
SingleRank	2	100	0.0
SingleRank	2	1000	0.1
SingleRank	2	10000	0.8
SingleRank	4	1	0.0
SingleRank	4	10	0.0
SingleRank	4	100	0.0
SingleRank	4	1000	0.0
SingleRank	4	10000	0.0
SingleRank	5	1	0.0
SingleRank	5	10	0.0
SingleRank	5	100	0.0
SingleRank	5	1000	0.11538461538461539
SingleRank	5	10000	0.2692307692307692
TFIDF	3	1	0.0
TFIDF	3	10	0.0
TFIDF	3	100	0.0
TFIDF	3	1000	0.0
TFIDF	3	10000	0.0
TFIDF	1	1	0.0
TFIDF	1	10	0.0
TFIDF	1	100	0.0
TFIDF	1	1000	0.0
TFIDF	1	10000	0.0
TFIDF	2	1	0.0
TFIDF	2	10	0.0
TFIDF	2	100	0.0
TFIDF	2	1000	0.0
TFIDF	2	10000	0.0
TFIDF	4	1	0.0
TFIDF	4	10	0.0
TFIDF	4	100	0.0
TFIDF	4	1000	0.0
TFIDF	4	10000	0.0
TFIDF	5	1	0.0
TFIDF	5	10	0.0
TFIDF	5	100	0.057692307692307696
TFIDF	5	1000	0.19230769230769232
TFIDF	5	10000	0.6538461538461539
TextRank	3	1	0.125
TextRank	3	10	0.25
TextRank	3	100	0.375
TextRank	3	1000	0.375
TextRank	3	10000	0.75
TextRank	1	1	0.0
TextRank	1	10	0.0
TextRank	1	100	0.10526315789473684
TextRank	1	1000	0.21052631578947367
TextRank	1	10000	0.3684210526315789
TextRank	2	1	0.0
TextRank	2	10	0.0
TextRank	2	100	0.2
TextRank	2	1000	0.3
TextRank	2	10000	0.9
TextRank	4	1	0.0
TextRank	4	10	0.0
TextRank	4	100	0.0
TextRank	4	1000	0.0
TextRank	4	10000	0.0
TextRank	5	1	0.0
TextRank	5	10	0.0
TextRank	5	100	0.019230769230769232
TextRank	5	1000	0.15384615384615385
TextRank	5	10000	0.46153846153846156
TopicalRank	3	1	0.0
TopicalRank	3	10	0.0
TopicalRank	3	100	0.0
TopicalRank	3	1000	0.0
TopicalRank	3	10000	0.0
TopicalRank	1	1	0.0
TopicalRank	1	10	0.0
TopicalRank	1	100	0.05263157894736842
TopicalRank	1	1000	0.15789473684210525
TopicalRank	1	10000	0.5263157894736842
TopicalRank	2	1	0.0
TopicalRank	2	10	0.0
TopicalRank	2	100	0.0
TopicalRank	2	1000	0.1
TopicalRank	2	10000	0.5
TopicalRank	4	1	0.0
TopicalRank	4	10	0.0
TopicalRank	4	100	0.0
TopicalRank	4	1000	0.0
TopicalRank	4	10000	0.0
TopicalRank	5	1	0.0
TopicalRank	5	10	0.0
TopicalRank	5	100	0.019230769230769232
TopicalRank	5	1000	0.1346153846153846
TopicalRank	5	10000	0.4230769230769231
YAKE	3	1	0.0
YAKE	3	10	0.0
YAKE	3	100	0.0
YAKE	3	1000	0.125
YAKE	3	10000	0.125
YAKE	1	1	0.0
YAKE	1	10	0.05263157894736842
YAKE	1	100	0.05263157894736842
YAKE	1	1000	0.05263157894736842
YAKE	1	10000	0.15789473684210525
YAKE	2	1	0.0
YAKE	2	10	0.0
YAKE	2	100	0.0
YAKE	2	1000	0.1
YAKE	2	10000	0.4
YAKE	4	1	0.0
YAKE	4	10	0.0
YAKE	4	100	0.0
YAKE	4	1000	0.0
YAKE	4	10000	0.0
YAKE	5	1	0.0
YAKE	5	10	0.019230769230769232
YAKE	5	100	0.057692307692307696
YAKE	5	1000	0.3076923076923077
YAKE	5	10000	0.6923076923076923
KPMINER	3	1	0.0
KPMINER	3	10	0.0
KPMINER	3	100	0.0
KPMINER	3	1000	0.0
KPMINER	3	10000	0.0
KPMINER	1	1	0.0
KPMINER	1	10	0.0
KPMINER	1	100	0.0
KPMINER	1	1000	0.0
KPMINER	1	10000	0.0
KPMINER	2	1	0.0
KPMINER	2	10	0.0
KPMINER	2	100	0.0
KPMINER	2	1000	0.0
KPMINER	2	10000	0.0
KPMINER	4	1	0.0
KPMINER	4	10	0.0
KPMINER	4	100	0.0
KPMINER	4	1000	0.0
KPMINER	4	10000	0.0
KPMINER	5	1	0.0
KPMINER	5	10	0.038461538461538464
KPMINER	5	100	0.057692307692307696
KPMINER	5	1000	0.23076923076923078
KPMINER	5	10000	0.5384615384615384
TopicRankResults	3	1	0.0
TopicRankResults	3	10	0.25
TopicRankResults	3	100	0.25
TopicRankResults	3	1000	0.375
TopicRankResults	3	10000	1.0
TopicRankResults	1	1	0.0
TopicRankResults	1	10	0.0
TopicRankResults	1	100	0.0
TopicRankResults	1	1000	0.15789473684210525
TopicRankResults	1	10000	0.5263157894736842
TopicRankResults	2	1	0.0
TopicRankResults	2	10	0.2
TopicRankResults	2	100	0.2
TopicRankResults	2	1000	0.4
TopicRankResults	2	10000	0.5
TopicRankResults	4	1	0.0
TopicRankResults	4	10	0.0
TopicRankResults	4	100	0.0
TopicRankResults	4	1000	0.0
TopicRankResults	4	10000	0.0
TopicRankResults	5	1	0.0
TopicRankResults	5	10	0.019230769230769232
TopicRankResults	5	100	0.019230769230769232
